rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
112,National Security AI Entrepreneur Visa,Federation of American Scientists,Think Tank,6.7749999999999995,7.0,7.0,6.5,6.5,"National Security AI Entrepreneur Visa is specific, actionable, and addresses a real talent gap in dual-use AI. Political feasibility is moderate.",1751
113,Develop Secure AI Models for National Security,HPE,Industry (Other),6.7749999999999995,7.0,7.0,6.5,6.5,"Developing secure AI models for national security is aligned with IAPS priorities. Somewhat general, but actionable and feasible within defense agencies.",2172
114,Develop AI-Enhanced Warfighter Design and Manufacturing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.7749999999999995,7.0,7.0,6.5,6.5,"Investment in AI-enabled warfighter design is aligned with IAPS's national security and innovation priorities. Actionable, with clear R&D/testing path.",2703
115,Create National AI and Digital Integration Plan for Defense,"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.7749999999999995,7.0,7.0,6.5,6.5,"National AI and digital integration plan for defense is well-aligned with IAPS's strategic interests. Actionable, though somewhat high-level.",2595
116,National Open-Source AI Initiative,Alvarez & Marshall Federal LLC,Industry (Other),6.7749999999999995,7.0,7.0,6.5,6.5,"Specific, actionable proposal for government-backed open-source AI models with security certification. Strong alignment with IAPS's compute governance and security priorities.",4043
117,Secure and scale up U.S. energy supply for AI,Anthropic,Frontier Developer,6.7749999999999995,7.0,7.0,6.5,6.5,"Concrete national target for scaling up U.S. energy supply for AI. Directly addresses compute infrastructure constraints, a key IAPS concern.",4216
118,Advance energy policies for AI infrastructure,Google,Frontier Developer,6.7749999999999995,7.0,7.0,6.5,6.5,Specific recommendations for energy policy to support AI infrastructure. Strong evidence base and clear implementation path.,4079
119,Support federal preemption of state AI laws,Google,Frontier Developer,6.7749999999999995,7.0,7.0,6.5,6.5,"Federal preemption of state AI laws is specific, actionable, and addresses a real risk of regulatory fragmentation. Politically contentious but highly relevant to IAPS's governance focus.",4511
120,Promote U.S.-friendly AI norms in international organizations,Microsoft,Frontier Developer,6.75,7.0,6.5,6.5,7.0,"Promotes U.S.-friendly AI norms in international organizations, opposes adversarial narratives. Actionable, aligns with IAPS international governance focus.",3154
121,Establish differentiated ecosystem obligations,Google,Frontier Developer,6.75,7.0,6.5,6.5,7.0,"Differentiated ecosystem obligations for AI actors, clarifying roles/liabilities. Actionable, addresses a real gap in AI governance.",3652
122,Emphasize sector-specific and risk-based AI governance,Google,Frontier Developer,6.75,7.0,6.5,6.5,7.0,"Emphasizes sector-specific, risk-based AI governance and alignment with technical standards. Actionable, evidence-based, and aligned with IAPS priorities.",3581
123,Balance disclosure requirements,Google,Frontier Developer,6.75,7.0,6.5,6.5,7.0,"Balanced disclosure requirements, supports model cards/technical reports, opposes overbroad mandates. Actionable, addresses real-world concerns.",3661
124,Prioritize Cybersecurity in Federal AI Procurement,Information Technology Industry Council,Industry Association,6.75,7.0,6.5,6.5,7.0,"Prioritizes cybersecurity in federal AI procurement, recommends contractual terms for security. Actionable and addresses real risks.",3091
125,Invest in AI Risk Measurement Research,Information Technology Industry Council,Industry Association,6.75,7.0,6.5,6.5,7.0,"Invests in AI risk measurement research, addressing a real gap in risk assessment. Actionable and aligned with IAPS priorities.",3399
126,Develop a Federal AI Initiative,HPE,Industry (Other),6.75,7.0,6.5,6.5,7.0,"Federal AI initiative with public-private partnerships, strategic coordination, and secure classified models. Actionable and supports IAPS priorities.",3023
127,Prioritize Commercial AI Solutions for Government,Information Technology Industry Council,Industry Association,6.75,7.0,6.5,6.5,7.0,"Encourages use of existing commercial procurement tools for AI. Specific, actionable, and feasible, though not highly innovative.",4995
128,Data-Sharing Standards for AI in Healthcare,Federation of American Scientists,Think Tank,6.675,7.0,7.0,6.5,6.0,"Data-sharing standards for AI in healthcare are actionable, evidence-based, and leverage NIST. Aligns with IAPS's standards and governance focus.",278
129,Adopt balanced export control policies,Google,Frontier Developer,6.6499999999999995,7.0,6.5,6.5,6.5,"Balanced export control policies are a core IAPS concern. While the proposal is somewhat self-serving, it acknowledges national security and economic competitiveness tradeoffs and calls for detailed analysis.",326
130,Establish a National AI Governance Body,"CGI Federal, Inc.",Industry (Other),6.6499999999999995,7.0,6.5,6.5,6.5,"National AI governance body is aligned with IAPS's governance focus. Somewhat vague on operational details, but the core is actionable.",1593
131,Reform AI Procurement to Include Smaller Vendors,INCOMPAS,Industry Association,6.6499999999999995,7.0,6.5,6.5,6.5,Procurement reform for smaller AI vendors is actionable and addresses a real market failure. Implementation is plausible.,1924
132,Centralize DOE AI strategy and execution,Bipartisan Policy Center,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Centralizing DOE AI strategy is actionable, avoids duplication, and is politically feasible. Directly relevant to national security and governance.",1603
133,Advance AI chip technology and data center efficiency,Bipartisan Policy Center,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Directs DOE to advance AI chip and data center efficiency. Actionable, relevant to compute governance and infrastructure.",1860
134,Promote AI-enhanced scientific progress with focus on AIxBio,Center for Security and Emerging Technology,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"AIxBio proposal is specific, actionable, and addresses a real competitive battleground. Implementation path is plausible.",1631
135,Ensure AI Innovation Aligns with National Security,Wahba Institute for Strategic Competition,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Ensuring AI innovation aligns with national security is highly relevant. Somewhat general, but actionable through partnership vetting.",2589
136,Invest in AI Research and Development for Defense Applications,"CGI Federal, Inc.",Industry (Other),6.6499999999999995,7.0,6.5,6.5,6.5,"Investing in AI R&D for defense is aligned with IAPS priorities. Includes actionable elements (autonomous systems, cybersecurity), though ethical guidelines are vague.",2093
137,Support the CREATE AI Act,Microsoft,Frontier Developer,6.6499999999999995,7.0,6.5,6.5,6.5,Supporting the CREATE AI Act is a concrete legislative recommendation with clear implementation path and strong alignment to IAPS's research infrastructure priorities.,4659
138,Preserve the AI Use Case Inventory,Federation of American Scientists,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Preserving the AI Use Case Inventory is a specific, actionable recommendation to maintain transparency and accountability in federal AI use. Strong alignment with IAPS's governance focus.",4716
139,Streamline key infrastructure buildout support for AI Energy Zones,Bipartisan Policy Center,Think Tank,6.625,6.5,7.0,6.5,6.5,Streamlining infrastructure buildout for AI energy zones is actionable and addresses real constraints. Aligned with IAPS's focus on compute infrastructure.,2250
140,Secure AI Supply Chain,Wahba Institute for Strategic Competition,Think Tank,6.55,7.0,6.5,6.5,6.0,"Securing AI supply chain is highly relevant, though details are somewhat generic. Actionable and aligned with national security.",1795
141,National AI Research Infrastructure,Alvarez & Marshall Federal LLC,Industry (Other),6.55,7.0,6.5,6.5,6.0,"National AI Research Infrastructure with compute consortium is actionable, addresses a real bottleneck, and is aligned with IAPS compute governance.",1114
142,Engage in international AI governance efforts,Microsoft,Frontier Developer,6.5249999999999995,7.0,6.5,6.0,6.5,"Engagement in international AI governance (e.g., G7 Hiroshima Process) is directly relevant to IAPS's international coordination focus. Actionable, but somewhat generic.",359
143,Promote low-carbon power procurement for data centers,Bipartisan Policy Center,Think Tank,6.5249999999999995,7.0,6.5,6.0,6.5,"Promoting low-carbon power procurement for data centers is specific, actionable, and supports AI infrastructure resilience—a secondary IAPS concern.",551
144,Enable AI to bolster national security and defense,Amazon,Frontier Developer,6.5249999999999995,7.0,6.5,6.0,6.5,"Enabling AI for national security and defense is highly aligned with IAPS priorities, but the proposal is partly self-serving (Amazon cloud). Still, it is specific and actionable.",412
145,Attract and retain foreign-born AI talent,Bipartisan Policy Center,Think Tank,6.5249999999999995,7.0,6.5,6.0,6.5,Attracting and retaining foreign-born AI talent is critical for US competitiveness and aligns with IAPS's strategic focus. Specific mechanism (Schedule A update) is actionable.,495
146,Develop comprehensive AI security policies,Microsoft,Frontier Developer,6.5249999999999995,7.0,6.5,6.0,6.5,"Calls for comprehensive AI security policies across the stack. Somewhat vague, but aligns with IAPS's security focus.",4812
147,Develop and Implement Cybersecurity Measures for AI Technologies,"CGI Federal, Inc.",Industry (Other),6.5249999999999995,7.0,6.5,6.0,6.5,Concrete call for AI-specific cybersecurity measures and a national task force. Moderate IAPS alignment.,4901
148,Support long-term AI R&D programs that fill private sector gaps,Bipartisan Policy Center,Think Tank,6.5,6.5,6.5,6.5,6.5,"Long-term AI R&D for public sector gaps is aligned with IAPS's innovation and competitiveness priorities. Actionable, though somewhat general.",2079
149,Support a national open data campaign,Microsoft,Frontier Developer,6.5,6.5,6.5,6.5,6.5,"National open data campaign is actionable and supports IAPS's interest in data governance and innovation, though less directly tied to national security.",4232
150,Adopt Liquid Cooling Technologies,HPE,Industry (Other),6.4750000000000005,6.5,6.5,6.0,7.0,"Encourages adoption of liquid cooling for AI infrastructure. Actionable and supports compute governance, but less central to IAPS mission.",3621
151,Grow Investment in Leadership Class Supercomputers,HPE,Industry (Other),6.4750000000000005,6.5,6.5,6.0,7.0,"Grow investment in leadership class supercomputers. Actionable and supports compute governance, but less specific.",3285
152,Develop AI Risk Mitigation Services for Manufacturing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.4,6.5,6.5,6.5,6.0,"AI risk mitigation services for manufacturing are specific and actionable, with a clear implementation path via public-private partnerships. Strong evidence base.",4585
153,Increase AI R&D spending,Microsoft,Frontier Developer,6.3999999999999995,7.0,6.0,6.0,6.5,"Increase AI R&D spending is specific, actionable, and politically viable, though lacks detailed implementation mechanisms.",1788
154,Promote the creation and expansion of open data commons,Microsoft,Frontier Developer,6.375,6.5,6.5,6.0,6.5,"Promoting open data commons is actionable and supports AI research, but lacks direct alignment with IAPS's core priorities.",4765
155,Expand High-Performance Computing Investments for AI,HPE,Industry (Other),6.3500000000000005,6.5,6.0,6.0,7.0,"Expands HPC investments for DoD AI research. Actionable, evidence-based, but somewhat generic.",2908
156,Create a Federated Data Infrastructure,HPE,Industry (Other),6.3500000000000005,6.5,6.0,6.0,7.0,"Federated data infrastructure for AI research. Actionable, but implementation details are vague.",3254
157,Develop AI-Enhanced Robotic Testing Environment,"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.3500000000000005,6.5,6.0,6.0,7.0,"AI-enhanced robotic testing environment, leveraging data repositories. Actionable, but sector-specific.",3480
158,Develop Physically Realistic Intelligent Simulations and Models (PRISM),"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.3500000000000005,6.5,6.0,6.0,7.0,"Invests in physically realistic intelligent simulations for manufacturing AI. Actionable, but niche.",3063
159,Leverage DOE national laboratory partnerships,Bipartisan Policy Center,Think Tank,6.3500000000000005,6.5,6.0,6.0,7.0,"Leverages DOE national lab partnerships for AI. Actionable, but lacks specificity.",2974
160,Standardize federal AI procurement processes and guidelines,Bipartisan Policy Center,Think Tank,6.3500000000000005,6.5,6.0,6.0,7.0,"Standardizes federal AI procurement, but overlaps with other procurement-focused proposals.",3676
161,Update laws on child sexual exploitation and non-consensual imagery,Microsoft,Frontier Developer,6.325,6.0,6.5,6.0,7.0,"Updating laws on AI-generated child sexual exploitation imagery is specific, actionable, and politically viable, but not a core IAPS focus.",5079
162,Advance AI applications under DOE's broad mission space,Bipartisan Policy Center,Think Tank,6.3,7.0,6.0,6.0,6.0,Advancing AI applications under DOE's mission is aligned with IAPS's focus on public-sector AI and national security. Somewhat broad but leverages DOE's unique capabilities.,1047
163,Invest in Technical Solutions for AI Explainability,HPE,Industry (Other),6.275,6.5,6.5,6.0,6.0,"Investing in technical solutions for explainability and red teaming is actionable and supports IAPS's AI safety priorities, though somewhat generic.",4379
164,Promote use of provenance technologies for authentic content,Microsoft,Frontier Developer,6.275,6.5,6.5,6.0,6.0,"Promoting provenance technologies for authentic content is actionable, addresses a real threat, and is feasible. Somewhat narrow in scope.",4582
165,Reform Immigration Policies for AI Talent,INCOMPAS,Industry Association,6.25,6.5,6.0,6.0,6.5,"Targeted immigration reform for AI talent is actionable and addresses a real gap, though implementation details are limited.",1957
166,Incentivize utility and data center expansion,Bipartisan Policy Center,Think Tank,6.25,6.5,6.0,6.0,6.5,"Incentivizing utility and data center expansion is actionable, addresses infrastructure needs, and is politically plausible.",1835
167,Energy Infrastructure Preparation for AI Growth,Federation of American Scientists,Think Tank,6.25,6.5,6.0,6.0,6.5,"Standardized framework for measuring AI energy demand is actionable, addresses a real gap, and is politically feasible.",1092
168,Enhanced Computing Infrastructure,HPE,Industry (Other),6.25,6.5,6.0,6.0,6.5,Enhanced computing infrastructure is aligned with IAPS's compute governance focus. Actionable but lacks specifics on implementation.,2323
169,Invest in AI-Ready Data Centers,HPE,Industry (Other),6.25,6.5,6.0,6.0,6.5,"Investing in AI-ready data centers is aligned with IAPS priorities. Actionable, but lacks detail on how to ensure alignment with national priorities.",2487
170,Develop Guidelines for AI-Generated Intellectual Property,"CGI Federal, Inc.",Industry (Other),6.25,6.5,6.0,6.0,6.5,"Developing guidelines for AI-generated IP is concrete and relevant, but lacks detail on enforcement or standards.",5050
171,Invest in Manufacturing Infrastructure and Supply Chains,"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.25,6.5,6.0,6.0,6.5,"Funding for manufacturing infrastructure is actionable and relevant for AI hardware, but lacks detail and direct governance focus.",5134
172,Promote AI Alignment Research,Wahba Institute for Strategic Competition,Think Tank,6.15,6.5,6.0,6.0,6.0,"Promoting AI alignment research is relevant to IAPS's safety focus. Somewhat generic, but includes specific open-source safety tool initiatives.",324
173,Create an AI scholarship-for-service program,Center for Security and Emerging Technology,Think Tank,6.15,6.5,6.0,6.0,6.0,"AI scholarship-for-service program is actionable and supports public-sector AI expertise, a secondary IAPS concern. Specific mechanism (NSF, CyberCorps) is credible.",434
174,Expand Public Sector AI Expertise,INCOMPAS,Industry Association,6.15,6.5,6.0,6.0,6.0,"Expanding public-sector AI expertise is important for governance and implementation. Specific programs cited, but overall approach is somewhat generic.",381
175,Expand Access to Federal Data,Information Technology Industry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Expanding access to federal data supports AI innovation and aligns with IAPS's data governance focus. Somewhat generic, but actionable.",677
176,Unlock energy capacity for AI infrastructure,Amazon,Frontier Developer,6.15,6.5,6.0,6.0,6.0,Unlocking energy capacity for AI infrastructure is actionable and addresses a real constraint for AI competitiveness. Somewhat self-serving but specific.,994
177,Strengthen Electrical Grid and Streamline Energy Infrastructure Permitting,Information Technology Industry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Strengthening the electrical grid and streamlining permitting is actionable and supports AI infrastructure. Somewhat generic, but addresses a real bottleneck.",1026
178,Support AI and Computing at DOE,Federation of American Scientists,Think Tank,6.15,6.5,6.0,6.0,6.0,DOE AI and Computing Lab proposal is actionable and leverages DOE's unique strengths. Somewhat duplicative of other proposals but still relevant.,1027
179,Lead Open Standards in AI Infrastructure,HPE,Industry (Other),6.15,6.5,6.0,6.0,6.0,"Leading open standards in AI infrastructure is relevant to international governance and technical standards, though somewhat generic.",1851
180,Adopt NIST AI RMF Across Federal Agencies,Information Technology Industry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Adopting NIST AI RMF across federal agencies is actionable and relevant, though primarily industry-driven and not novel.",1469
181,Launch an AI Data Initiative,HPE,Industry (Other),6.15,6.5,6.0,6.0,6.0,"AI Data Initiative is actionable and addresses real data access issues. Somewhat general, but implementation path is plausible.",2744
182,Encourage open government data initiatives for AI research,Bipartisan Policy Center,Think Tank,6.15,6.5,6.0,6.0,6.0,"Open government data initiatives for AI research are actionable and address real gaps. Implementation is plausible, but lacks detail.",2592
183,Enhance Cybersecurity for Energy Infrastructure,INCOMPAS,Industry Association,6.15,6.5,6.0,6.0,6.0,"Enhancing cybersecurity for energy infrastructure is aligned with IAPS's national security focus. Actionable, but largely continues existing efforts.",2705
184,Enhance physical and cybersecurity measures for AI infrastructure,Microsoft,Frontier Developer,6.15,6.5,6.0,6.0,6.0,"Enhancing physical and cybersecurity standards for AI infrastructure is actionable and relevant to IAPS's security focus, but lacks detail.",4109
185,Promote secure development practices for AI,Microsoft,Frontier Developer,6.15,6.5,6.0,6.0,6.0,"Promoting secure development practices is actionable and relevant, but somewhat generic and lacking in implementation detail.",4506
186,Advance the use of AI for cyber defense,Microsoft,Frontier Developer,6.15,6.5,6.0,6.0,6.0,"Advancing AI for cyber defense is actionable and relevant, but primarily corporate lobbying with limited specificity.",4092
187,Focus on emerging AI threats,Microsoft,Frontier Developer,6.15,6.5,6.0,6.0,6.0,"Focus on emerging AI threats is relevant and actionable, but lacks concrete implementation steps beyond general collaboration.",4435
188,Build on U.S. AI research leadership via global AI institutes,Microsoft,Frontier Developer,6.15,6.5,6.0,6.0,6.0,"Building on U.S. AI research leadership via global AI institutes is specific and actionable, but somewhat generic and lacking in detail.",4334
189,Federal AI Transformation Initiative,Alvarez & Marshall Federal LLC,Industry (Other),6.1,6.0,6.0,6.0,6.5,"Federal AI transformation initiative with funding, roadmaps, and shared services. Actionable, but ambitious and may face bureaucratic resistance.",3425
190,AI Workforce Development,Alvarez & Marshall Federal LLC,Industry (Other),6.1,6.0,6.0,6.0,6.5,"AI workforce certification framework, expanded NSF training, and tax incentives. Actionable, but workforce focus is less central to IAPS.",3694
191,Streamline federal permitting for datacenters and energy infrastructure,Microsoft,Frontier Developer,6.1,6.0,6.0,6.0,6.5,"Streamlining permitting for datacenters/energy infrastructure is actionable and relevant for AI compute, but not a direct governance issue.",5092
192,Develop Federal Preemption for AI Regulation,Information Technology Industry Council,Industry Association,6.050000000000001,6.5,6.0,6.0,5.5,"Federal preemption for AI regulation is actionable and addresses a real policy challenge, but is largely industry-driven and politically contentious.",4502
193,Expand Global AI Education & Workforce Training,Wahba Institute for Strategic Competition,Think Tank,6.025,6.5,6.0,5.5,6.0,"Expanding global AI education and workforce training is relevant to US leadership and IAPS's international focus. Somewhat broad, but actionable.",999
194,Promote Open Standards to Reduce Lock-in,HPE,Industry (Other),6.0,6.0,6.0,6.0,6.0,"Promoting open standards to reduce lock-in is actionable and relevant, though lacks detail on enforcement and implementation.",1395
195,Enhance resilience of AI supply chain,Microsoft,Frontier Developer,6.0,6.0,6.0,6.0,6.0,"Enhancing AI supply chain resilience is relevant to IAPS priorities, though details are generic and implementation path is broad.",1570
196,Promote AI innovation in U.S. trade agreements,Microsoft,Frontier Developer,6.0,6.0,6.0,6.0,6.0,"Promoting AI innovation in trade agreements is aligned with IAPS's competitiveness priorities. Actionable, but lacks detail on enforcement.",2670
197,Influence International AI Standards,Wahba Institute for Strategic Competition,Think Tank,6.0,6.0,6.0,6.0,6.0,"Influencing international AI standards is aligned with IAPS's global governance focus. Actionable, but somewhat general and aspirational.",2229
198,Foster dynamic and competitive AI markets,Center for Security and Emerging Technology,Think Tank,6.0,6.0,6.0,6.0,6.0,"Promoting competitive AI markets is aligned with IAPS's innovation focus. Actionable, but lacks specific mechanisms.",2142
199,Support community colleges for AI workforce training,Center for Security and Emerging Technology,Think Tank,6.0,6.0,6.0,6.0,6.0,Supporting community colleges for AI workforce training is actionable and addresses real gaps. Implementation path is clear.,2740
200,Provide Targeted Workforce Development Grants,"Advanced Robotics for Manufacturing
  Institute",Think Tank,6.0,6.0,6.0,6.0,6.0,Targeted workforce development grants are actionable and address real workforce needs. Implementation path is clear.,2842
201,Develop Federal AI Workforce Capabilities,Information Technology Industry Council,Industry Association,6.0,6.0,6.0,6.0,6.0,Developing federal AI workforce capabilities is actionable and addresses real gaps. Lacks detail on specific mechanisms.,2427
202,Accelerate AI Workforce Development for Defense,HPE,Industry (Other),6.0,6.0,6.0,6.0,6.0,Accelerating AI workforce development for defense is actionable and aligned with IAPS priorities. Lacks detail on implementation.,2689
203,Fund Research on AI-Driven Cybersecurity Solutions,"CGI Federal, Inc.",Industry (Other),6.0,6.0,6.0,6.0,6.0,Funding research on AI-driven cybersecurity is actionable and aligned with IAPS's security focus. Lacks detail on specific research priorities.,2801
204,AI-Driven Materials Discovery at DOE,Federation of American Scientists,Think Tank,6.0,6.0,6.0,6.0,6.0,AI-driven materials discovery at DOE is actionable and aligned with IAPS's innovation focus. Lacks detail on implementation.,2140
205,Reauthorize the Workforce Innovation and Opportunity Act,Microsoft,Frontier Developer,5.975,6.0,5.5,6.0,6.5,"Reauthorize WIOA for AI workforce training. Actionable, but generic and not directly IAPS-aligned.",3404
206,Implement skills-based hiring in federal government,Microsoft,Frontier Developer,5.975,6.0,5.5,6.0,6.5,"Skills-based hiring in federal government. Actionable, but not central to IAPS mission.",3244
207,Support public-private partnerships for AI education,Microsoft,Frontier Developer,5.875,6.0,6.0,5.5,6.0,"Supporting public-private partnerships for AI education is actionable, but broad and somewhat self-serving. Aligns with workforce development, a secondary IAPS concern.",704
208,Establish a National AI Research Institute,"CGI Federal, Inc.",Industry (Other),5.875,6.0,6.0,5.5,6.0,National AI Research Institute proposal is actionable and supports US AI leadership. Somewhat generic and risks duplicating existing efforts.,828
209,Incentivize Domestic Manufacturing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.875,6.0,6.0,5.5,6.0,Incentivizing domestic manufacturing is actionable and supports US competitiveness. Somewhat generic and lacks detail on implementation.,961
210,AI Infrastructure Investments and Regulatory Reforms,OpenAI,Frontier Developer,5.875,6.0,6.0,5.5,6.0,"AI infrastructure investment strategy is relevant and actionable, but proposal is broad and somewhat self-serving.",1311
211,Champion market-driven technical standards internationally,Google,Frontier Developer,5.875,6.0,6.0,5.5,6.0,"Championing market-driven technical standards is relevant, but proposal is industry-centric and lacks enforcement mechanisms.",1360
212,Strategic AI Research Program,Alvarez & Marshall Federal LLC,Industry (Other),5.875,6.0,6.0,5.5,6.0,"Strategic AI research program is actionable and relevant, but scale and implementation details are ambitious and somewhat vague.",1304
213,Properly staff and fund NIST,Microsoft,Frontier Developer,5.875,6.0,5.5,6.0,6.0,Properly staffing and funding NIST is actionable and supports IAPS's standards priorities. Lacks detail on specific outcomes.,2475
214,Promote Open-Source AI Education and Training,"CGI Federal, Inc.",Industry (Other),5.85,6.0,5.5,5.5,6.5,"Promotes open-source AI education/training. Actionable, but lacks specificity and not IAPS core.",3093
215,Promote Lifelong Learning and Continuous Education in AI,"CGI Federal, Inc.",Industry (Other),5.85,6.0,5.5,5.5,6.5,"Lifelong learning/continuous AI education. Actionable, but generic and not IAPS core.",3622
216,Promote AI Education and Workforce Development,"CGI Federal, Inc.",Industry (Other),5.85,6.0,5.5,5.5,6.5,"AI education/workforce development programs. Actionable, but generic and not IAPS core.",3227
217,Allocate Funding for AI Research,"CGI Federal, Inc.",Industry (Other),5.85,6.0,5.5,5.5,6.5,"Funding for AI research, interdisciplinary focus. Actionable, but generic and not IAPS core.",3461
218,Strategic AI Economic Zones,Alvarez & Marshall Federal LLC,Industry (Other),5.775,6.0,6.0,5.5,5.5,"Strategic AI Economic Zones are actionable and support national security, but implementation is complex and risks being a corporate subsidy.",506
219,Mission-Critical AI Applications,Alvarez & Marshall Federal LLC,Industry (Other),5.775,6.0,6.0,5.5,5.5,"Mission-critical AI applications are actionable and measurable, but the proposal is broad and risks being a tech vendor wish list.",1024
220,Strengthen IP Protections for AI Technologies,"CGI Federal, Inc.",Industry (Other),5.775,6.0,6.0,5.5,5.5,"Strengthening IP protections for AI is specific and actionable, but largely corporate wish-list and less relevant to IAPS's core priorities.",4551
221,Copyright Strategy to Preserve Fair Use for AI Training,OpenAI,Frontier Developer,5.775,6.0,6.0,5.5,5.5,"Copyright strategy to preserve fair use for AI training is specific and actionable, but primarily serves corporate interests and is less aligned with IAPS's strategic focus.",4081
222,Develop AI Assistants for Manufacturing Operations Design,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.775,6.0,6.0,5.5,5.5,"Developing AI assistants for manufacturing operations is actionable and specific, but narrow in scope and less relevant to IAPS's national security or governance priorities.",4609
223,Create Trusted Data Repository for Manufacturing AI,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.775,6.0,6.0,5.5,5.5,"Trusted data repository for manufacturing AI is actionable and specific, but narrow in sector focus and less aligned with IAPS's strategic interests.",4046
224,Provide Access to High-Performance Compute Power,Wahba Institute for Strategic Competition,Think Tank,5.75,6.0,5.5,5.5,6.0,"Access to high-performance compute power is relevant, but proposal is broad and lacks specific implementation mechanisms.",1621
225,Foster collaboration on AI security,Microsoft,Frontier Developer,5.75,6.0,5.5,5.5,6.0,"Vague call for collaboration on AI security. Lacks specificity, but aligns with IAPS's interest in security best practices.",5106
226,Accelerate AI R&D and resources for researchers,Google,Frontier Developer,5.75,6.0,5.5,5.5,6.0,"Broad call for increased AI R&D funding and access. Actionable, but largely duplicative of current efforts and lacks governance focus.",4904
227,Next-Generation Computing Research,Alvarez & Marshall Federal LLC,Industry (Other),5.65,6.0,5.5,5.5,5.5,Next-generation computing research is relevant to IAPS priorities but is broad and risks being a moonshot with uncertain ROI.,659
228,Coordinate federal AI research agendas across agencies,Bipartisan Policy Center,Think Tank,5.65,6.0,5.5,5.5,5.5,"Coordinating federal AI research agendas is actionable and relevant, but lacks detail and is already underway in many forms.",3996
229,Invest in U.S. Government Infrastructure for AI R&D,Information Technology Industry Council,Industry Association,5.65,6.0,5.5,5.5,5.5,"Investing in government infrastructure for AI R&D is actionable and relevant, but largely generic and lacks specificity.",4753
230,Promote Open Access to AI Research Findings,"CGI Federal, Inc.",Industry (Other),5.65,6.0,5.5,5.5,5.5,"Promoting open access to AI research findings is actionable and relevant, but lacks detail and is already standard in many federal research programs.",4177
231,Strengthen AI workforce development through apprenticeships,Center for Security and Emerging Technology,Think Tank,5.6000000000000005,5.5,5.5,5.5,6.0,"AI workforce apprenticeships are actionable and politically viable, but not directly aligned with IAPS's strategic priorities.",1106
232,Long-Term AI Research Funding,Alvarez & Marshall Federal LLC,Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"Long-term AI research funding is actionable, but the 'Manhattan Project for AGI' is speculative and lacks implementation realism.",1260
233,Develop Manufacturing Process AI Situational Awareness,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.6000000000000005,5.5,5.5,5.5,6.0,"AI situational awareness for manufacturing is actionable and relevant, but sector-specific and not a core IAPS focus.",1934
234,Create Framework for Protecting Manufacturing Data,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.6000000000000005,5.5,5.5,5.5,6.0,Framework for protecting manufacturing data is actionable and aligned with IAPS's data governance focus. Lacks detail.,2494
235,Create a National AI Research Network,"CGI Federal, Inc.",Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,National AI research network is actionable and aligned with IAPS's research priorities. Lacks detail on implementation.,2541
236,Support Interdisciplinary AI Research Initiatives,"CGI Federal, Inc.",Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"Interdisciplinary AI research initiatives. Actionable, but generic and not IAPS core.",3263
237,Provide Funding and Support for Open-Source AI Projects,"CGI Federal, Inc.",Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"Funding/support for open-source AI projects. Actionable, but generic and not IAPS core.",3322
238,Deploy On-Premises AI Clusters,HPE,Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"Deploy on-premises AI clusters for data sovereignty. Actionable, but niche and not IAPS core.",3372
239,Utilize AI-Driven Predictive Maintenance,HPE,Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"AI-driven predictive maintenance. Actionable, but sector-specific and not IAPS core.",3283
240,"Promote development of open, industry-led technical standards",Microsoft,Frontier Developer,5.6000000000000005,5.5,5.5,5.5,6.0,"Promotes open, industry-led technical standards. Actionable, but vague and not IAPS core.",3219
241,Establish federal programs for on-the-job AI training,Microsoft,Frontier Developer,5.6000000000000005,5.5,5.5,5.5,6.0,"On-the-job AI training is concrete and feasible, but not directly related to IAPS's governance or security priorities.",4767
