overall_rank,batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
117,38,Next-Generation Computing Research,Alvarez & Marshall Federal LLC,Industry (Other),5.65,6.0,5.5,5.5,5.5,Next-generation computing research is relevant to IAPS priorities but is broad and risks being a moonshot with uncertain ROI.,659
118,40,Strengthen AI workforce development through apprenticeships,Center for Security and Emerging Technology,Think Tank,5.6000000000000005,5.5,5.5,5.5,6.0,"AI workforce apprenticeships are actionable and politically viable, but not directly aligned with IAPS's strategic priorities.",1106
119,41,Long-Term AI Research Funding,Alvarez & Marshall Federal LLC,Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"Long-term AI research funding is actionable, but the 'Manhattan Project for AGI' is speculative and lacks implementation realism.",1260
120,42,Develop Manufacturing Process AI Situational Awareness,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.6000000000000005,5.5,5.5,5.5,6.0,"AI situational awareness for manufacturing is actionable and relevant, but sector-specific and not a core IAPS focus.",1934
121,40,Create Framework for Protecting Manufacturing Data,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.6000000000000005,5.5,5.5,5.5,6.0,Framework for protecting manufacturing data is actionable and aligned with IAPS's data governance focus. Lacks detail.,2494
122,41,Create a National AI Research Network,"CGI Federal, Inc.",Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,National AI research network is actionable and aligned with IAPS's research priorities. Lacks detail on implementation.,2541
123,40,Create a National Data Trust Framework,"CGI Federal, Inc.",Industry (Other),5.5,5.5,5.5,5.5,5.5,National data trust framework is relevant to IAPS's data governance focus. Somewhat generic and lacks detail on enforcement.,833
124,41,Promote the Adoption of Privacy-Preserving Techniques,"CGI Federal, Inc.",Industry (Other),5.5,5.5,5.5,5.5,5.5,Promoting privacy-preserving techniques is relevant but broad and lacks specificity on implementation or enforcement.,874
125,42,Develop a Knowledge Nurturing Platform,HPE,Industry (Other),5.5,5.5,5.5,5.5,5.5,Knowledge nurturing platform is somewhat actionable but vague on specifics. Aligned with IAPS's research focus.,2611
126,43,Provide Training on AI Procurement Best Practices,"CGI Federal, Inc.",Industry (Other),5.5,5.5,5.5,5.5,5.5,Training on AI procurement best practices is actionable but not highly strategic for IAPS. Lacks detail on curriculum.,2563
127,42,Support Data-Centric AI Research,HPE,Industry (Other),5.375,5.5,5.5,5.0,5.5,Data-centric AI research is a valid focus but is more academic and lacks concrete policy mechanisms.,859
128,43,Leverage existing risk-based cybersecurity standards,Microsoft,Frontier Developer,5.375,5.5,5.5,5.0,5.5,"Leveraging existing risk-based cybersecurity standards is sensible, but the proposal is generic and risks being a deregulatory wish list.",366
129,44,Streamline AI cybersecurity regulations,Microsoft,Frontier Developer,5.375,5.5,5.5,5.0,5.5,Streamlining AI cybersecurity regulation is relevant but lacks detail and risks being a corporate deregulatory push.,218
130,43,Incentivize Public-Private Partnerships for AI Development,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.3500000000000005,5.5,5.0,5.0,6.0,Public-private partnerships for AI development are actionable but generic and lack specificity.,1382
131,44,Enhance Small Business AI Support,INCOMPAS,Industry Association,5.3500000000000005,5.5,5.0,5.0,6.0,Small business AI support is actionable but generic and not directly aligned with IAPS's strategic priorities.,1467
132,45,Automate Spectrum Licensing with AI,INCOMPAS,Industry Association,5.3500000000000005,5.5,5.0,5.0,6.0,Automating spectrum licensing with AI is actionable but sector-specific and not a core IAPS concern.,1984
133,46,Reform AI Procurement to Include Smaller Vendors,INCOMPAS,Industry Association,5.3500000000000005,5.5,5.0,5.0,6.0,AI procurement reform for smaller vendors is actionable but largely a market access issue.,1924
134,45,Spearhead Public/Private Collaboration,INCOMPAS,Industry Association,5.25,5.5,5.0,5.0,5.5,Spearheading public/private collaboration is a vague aspiration with little concrete policy content.,953
135,44,Create a Centralized AI Procurement Office,"CGI Federal, Inc.",Industry (Other),5.225,5.0,5.5,5.0,5.5,Centralized AI procurement office is actionable but risks bureaucratic bloat. Not highly strategic for IAPS.,2035
136,47,Address AI Impact on Children,Wahba Institute for Strategic Competition,Think Tank,5.2,5.0,5.0,5.0,6.0,AI impact on children is a real concern but proposal is vague and lacks enforcement or implementation details.,1161
137,48,Support ongoing AI education campaigns for schools,Microsoft,Frontier Developer,5.2,5.0,5.0,5.0,6.0,Ongoing AI education campaigns are actionable but not directly aligned with IAPS's strategic focus.,1888
138,49,Support Large-Scale AI Pilot Projects,"CGI Federal, Inc.",Industry (Other),5.2,5.0,5.0,5.0,6.0,Funding large-scale AI pilot projects is actionable but lacks detail and is not a core IAPS priority.,1951
139,50,Expand RoboticsCareer.org,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.2,5.0,5.0,5.0,6.0,Expanding RoboticsCareer.org is actionable but sector-specific and not a core IAPS concern.,1473
140,51,Mitigate AI's Impact on Employment,Wahba Institute for Strategic Competition,Think Tank,5.2,5.0,5.0,5.0,6.0,AI workforce training and job transition is actionable but generic and not directly aligned with IAPS priorities.,1916
141,46,Support development of data annotation standards,Microsoft,Frontier Developer,5.1,5.0,5.0,5.0,5.5,Data annotation standards are relevant but the proposal is generic and self-serving (Microsoft).,69
142,45,Partner with Industry to Create Apprenticeship and Internship Programs,"CGI Federal, Inc.",Industry (Other),5.1,5.0,5.0,5.0,5.5,Industry apprenticeship programs are actionable but not highly strategic for IAPS. Lacks detail.,2144
143,46,Fund AI and Emerging Technology Research,Wahba Institute for Strategic Competition,Think Tank,5.1,5.0,5.0,5.0,5.5,Funding AI research is important but very generic and lacks specificity.,2058
144,52,Create Lifelong Learning and Upskilling Tax Incentives,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.05,4.5,5.0,5.0,6.0,Tax incentives for upskilling are actionable but generic and not a core IAPS focus.,1590
145,53,Enforce robust data safeguards in the AI lifecycle,Bipartisan Policy Center,Think Tank,5.05,4.5,5.0,5.0,6.0,Data safeguards in AI lifecycle are important but proposal is vague and lacks implementation specifics.,1982
146,47,Establish Data and Model Governance Framework,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Data and model governance framework is a generic aspiration with little detail on enforcement or implementation.,387
147,47,Support Consortiums for AI Research,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Supporting consortiums for AI research is generic and self-serving. Lacks detail.,2060
148,48,Invest in Public-Private Partnerships for Innovation,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Public-private partnerships for innovation are generic and lack specificity.,2694
149,49,Foster Partnerships for Resource Sharing,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Resource sharing partnerships are generic and lack specificity.,2170
150,50,Promote Open Standards and Interoperability,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Open standards and interoperability are important but proposal is vague and lacks implementation detail.,2570
151,51,Promote AI Standards Adoption,Information Technology Industry Council,Industry Association,5.0,5.0,5.0,5.0,5.0,Promoting AI standards adoption is generic and lacks specifics.,2511
152,52,Promote Industry-Standard Trusted Execution Environments,HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Trusted Execution Environments are important but proposal is vague and self-serving.,2471
153,53,"Invest in System, Storage, and Network Infrastructure",HPE,Industry (Other),5.0,5.0,5.0,5.0,5.0,Investing in system/network infrastructure is generic and lacks detail.,2681
154,48,Adopt Flexible AI Regulations,HPE,Industry (Other),4.875,5.0,5.0,4.5,5.0,Flexible AI regulations is a generic industry wish list with little actionable content.,263
155,49,Develop a federal privacy framework tailored to AI systems,Bipartisan Policy Center,Think Tank,4.875,5.0,5.0,4.5,5.0,"Federal privacy framework tailored to AI is a valid goal but is broad, lacks specifics, and is politically challenging.",77
156,50,Prioritize AI for Cybersecurity,Information Technology Industry Council,Industry Association,4.875,5.0,5.0,4.5,5.0,Prioritizing AI for cybersecurity is a broad aspiration with little concrete policy content.,384
157,54,Invest in AI for Economic Competitiveness,Wahba Institute for Strategic Competition,Think Tank,4.8,4.5,4.5,4.5,6.0,Investing in AI for economic competitiveness is broad and lacks actionable mechanisms.,1080
158,55,Modernize the Electrical Grid,INCOMPAS,Industry Association,4.8,4.5,4.5,4.5,6.0,Grid modernization is important but proposal is generic and lacks actionable detail.,1766
159,56,Support Innovations in AI Infrastructure Costs,HPE,Industry (Other),4.8,4.5,4.5,4.5,6.0,Supporting innovations to decrease AI infrastructure costs is vague and lacks specifics.,1752
160,57,Develop AI Technology Roadmap for Manufacturing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.8,4.5,4.5,4.5,6.0,AI roadmap for manufacturing is sector-specific and not a core IAPS concern.,1356
161,51,Encourage Diverse AI Technology Landscape,Information Technology Industry Council,Industry Association,4.6,4.5,4.5,4.5,5.0,Encouraging a diverse AI technology landscape is a generic industry wish list with little actionable content.,241
162,52,Create an Enabling Environment for AI Adoption,Information Technology Industry Council,Industry Association,4.6,4.5,4.5,4.5,5.0,Creating an enabling environment for AI adoption is broad and lacks concrete mechanisms.,248
163,53,Support Nuclear Energy Development,INCOMPAS,Industry Association,4.6,4.5,4.5,4.5,5.0,Support for nuclear energy is tangential to IAPS's AI governance priorities and is a generic industry push.,203
164,54,Negotiate International Trade Agreements for AI,Information Technology Industry Council,Industry Association,4.6,4.5,4.5,4.5,5.0,International trade agreements for AI are broad and lack actionable detail. Mostly an industry wish list.,816
165,55,Create a National Repository for Open-Source AI Software and Datasets,"CGI Federal, Inc.",Industry (Other),4.6,4.5,4.5,4.5,5.0,"National repository for open-source AI is broad, lacks detail, and risks duplicating existing efforts.",112
166,56,Invest in Protection Against AI Model Tampering,HPE,Industry (Other),4.6,4.5,4.5,4.5,5.0,Investing in protection against AI model tampering is relevant but lacks detail and is mostly an industry ask.,79
167,57,Develop and Enforce Data Privacy and Security Regulations,"CGI Federal, Inc.",Industry (Other),4.6,4.5,4.5,4.5,5.0,Developing and enforcing data privacy and security regulations is broad and lacks actionable detail.,161
168,54,Support Incremental Technology Upgrades,HPE,Industry (Other),4.6,4.5,4.5,4.5,5.0,Supporting incremental technology upgrades is vague and lacks specificity.,2778
169,55,Develop Comprehensive Energy Strategy for AI,INCOMPAS,Industry Association,4.6,4.5,4.5,4.5,5.0,Comprehensive energy strategy is vague and lacks actionable detail.,2567
170,56,"Promote ""Abundant AI"" Through Open Source and Closed Models",INCOMPAS,Industry Association,4.6,4.5,4.5,4.5,5.0,Open source/closed model advocacy is generic and lacks actionable recommendations.,2513
171,57,Promote Competition and Collaboration Among AI Companies,"CGI Federal, Inc.",Industry (Other),4.6,4.5,4.5,4.5,5.0,Promoting competition/collaboration is vague and lacks specificity.,2088
172,59,Provide Financial Incentives for AI Manufacturing Technology Adoption,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.5,4.5,4.5,4.5,4.5,Financial incentives for manufacturing tech are generic and lack specificity.,2112
173,60,Establish AI and Robotics Testing Facilities,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.5,4.5,4.5,4.5,4.5,AI/robotics testing facilities are not a strategic IAPS priority and lack specificity.,2138
174,58,Expand AI Literacy & Public Awareness,Wahba Institute for Strategic Competition,Think Tank,4.475,4.5,4.0,4.5,5.0,AI literacy/public awareness is not a strategic IAPS priority and is vague.,2037
175,58,Address AI's Impact on Mental and Social Health,Wahba Institute for Strategic Competition,Think Tank,4.4,4.0,4.0,4.0,6.0,AI's impact on mental health is a real issue but proposal is vague and lacks implementation details.,1445
176,58,Invest in Power and Energy Management Software,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,"Investing in power and energy management software is a narrow, self-serving industry ask.",268
177,59,Invest in Modular Data Centers,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,"Investing in modular data centers is a narrow, self-serving industry ask.",375
178,60,Develop Models with Intuitive Explanations,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,"Developing models with intuitive explanations is vague, lacks implementation detail, and is mostly academic.",5
179,61,Foster Cross-Sector Partnerships for Explainability Research,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,Fostering cross-sector partnerships for explainability research is a vague academic aspiration.,238
180,62,Promote International AI Research Collaborations,HPE,Industry (Other),4.1000000000000005,4.0,4.0,4.0,4.5,Promoting international AI research collaborations is a vague aspiration with no actionable detail.,465
181,61,Establish Worker Assistance Programs,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.1000000000000005,4.0,4.0,4.0,4.5,Worker assistance programs are generic and not strategic for IAPS.,2781
182,62,Support Small Business and Entrepreneurship,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.1000000000000005,4.0,4.0,4.0,4.5,Small business/entrepreneurship support is generic and not strategic for IAPS.,2714
183,63,Focus Training on Emerging Industries,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.1000000000000005,4.0,4.0,4.0,4.5,Workforce training for emerging industries is generic and lacks specificity.,2664
184,64,Conduct Workforce Impact Research,INCOMPAS,Industry Association,4.1000000000000005,4.0,4.0,4.0,4.5,Workforce impact research is generic and not strategic for IAPS.,2404
185,65,Monitor economic impacts of AI and prepare for major actions,Anthropic,Frontier Developer,4.1000000000000005,4.0,4.0,4.0,4.5,Monitoring economic impacts is vague and self-referential (Anthropic's own index).,2559
186,59,Ensure AI Fairness & Prevent Discrimination,Wahba Institute for Strategic Competition,Think Tank,4.0,3.5,3.5,3.5,6.0,"Industry-led initiatives for AI fairness are vague, self-serving, and lack enforcement.",1083
187,60,Combat AI-Powered Disinformation While Preserving Free Speech,Wahba Institute for Strategic Competition,Think Tank,4.0,3.5,3.5,3.5,6.0,Voluntary content labeling for disinformation is vague and lacks enforcement.,1844
188,61,Strengthen AI Transparent Government Use,Wahba Institute for Strategic Competition,Think Tank,4.0,3.5,3.5,3.5,6.0,Transparent government AI use is a vague aspiration with no concrete mechanisms.,1433
189,62,Establish Guidelines for the Use of AI in Military Contexts,"CGI Federal, Inc.",Industry (Other),4.0,3.5,3.5,3.5,6.0,Guidelines for military AI use are important but proposal is vague and lacks enforcement.,1734
190,63,Develop Coordinated Technology Development Strategy,INCOMPAS,Industry Association,4.0,3.5,3.5,3.5,6.0,Coordinated technology development strategy is vague and lacks actionable mechanisms.,1462
191,64,Use AI to Reduce Regulatory Barriers for Small ISPs,INCOMPAS,Industry Association,3.6,3.0,3.0,3.0,6.0,AI to reduce regulatory barriers for small ISPs is sector-specific and not a core IAPS concern.,1118
192,65,Support AI Entrepreneurs and Startups,INCOMPAS,Industry Association,3.6,3.0,3.0,3.0,6.0,Support for AI entrepreneurs is vague and lacks actionable mechanisms.,1239
193,66,Enhance Public-Private Collaboration for Defense AI,HPE,Industry (Other),3.6,3.0,3.0,3.0,6.0,Enhancing public-private collaboration for defense AI is a vague aspiration.,1129
194,67,Develop Services for Platform Verification,HPE,Industry (Other),3.6,3.0,3.0,3.0,6.0,Platform verification services are industry-centric and lack policy mechanisms.,1146
195,68,Implement AI Operations for IT Automation,HPE,Industry (Other),3.6,3.0,3.0,3.0,6.0,"AI operations for IT automation is an industry solution, not a policy proposal.",1960
196,63,Strengthen Cultural & Linguistic AI Applications,Wahba Institute for Strategic Competition,Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Strengthening cultural and linguistic AI applications is tangential to IAPS's priorities and is vague.,559
197,64,Promote AI Environmental Sustainability,Wahba Institute for Strategic Competition,Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,"AI environmental sustainability is a generic, non-actionable aspiration.",428
198,65,Promote International Collaboration,INCOMPAS,Industry Association,3.5999999999999996,3.5,3.5,3.5,4.0,"Promoting international collaboration is a vague, non-actionable aspiration.",464
199,66,Prioritize affordability and reliability in AI energy infrastructure development,Bipartisan Policy Center,Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Prioritizing affordability and reliability in AI energy infrastructure is vague and lacks actionable content.,56
200,67,Strengthen and Sustain Manufacturing USA Institutes,"Advanced Robotics for Manufacturing
  Institute",Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Strengthening Manufacturing USA Institutes is tangential to IAPS's AI governance focus.,214
201,68,Leverage Manufacturing Extension Partnerships for SMEs,"Advanced Robotics for Manufacturing
  Institute",Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Leveraging Manufacturing Extension Partnerships for SMEs is tangential and lacks actionable AI governance content.,489
202,69,Provide Training and Reskilling Opportunities for Workers,"CGI Federal, Inc.",Industry (Other),3.5999999999999996,3.5,3.5,3.5,4.0,"Training and reskilling workers is a generic workforce development proposal, not AI governance.",891
203,66,Encourage Global Adoption of Ethical AI Standards,HPE,Industry (Other),3.5999999999999996,3.5,3.5,3.5,4.0,Ethical AI standards advocacy is vague and not actionable.,2075
204,69,Support Innovations in AI Infrastructure Costs,HPE,Industry (Other),3.2,2.5,2.5,2.5,6.0,"Vague, self-serving industry proposal with no policy substance.",1752
205,70,Remove restrictions and paywalls on scientific research,Microsoft,Frontier Developer,3.2,2.5,2.5,2.5,6.0,Removing paywalls on scientific research is idealistic and lacks implementation realism.,1961
206,71,Invest in Digital Twin Technology,HPE,Industry (Other),3.2,2.5,2.5,2.5,6.0,"Digital twin technology investment is an industry pitch, not a policy proposal.",1782
207,72,Create AI Innovation Hubs Across the Country,"CGI Federal, Inc.",Industry (Other),3.2,2.5,2.5,2.5,6.0,"AI innovation hubs are a vague, generic economic development proposal.",1758
208,70,Target federal apprenticeships for AI infrastructure,Microsoft,Frontier Developer,3.1,3.0,3.0,3.0,3.5,Targeting federal apprenticeships for AI infrastructure is a narrow workforce development proposal with little AI governance relevance.,226
209,71,AI-Ready Workforce Development Strategy,OpenAI,Frontier Developer,3.1,3.0,3.0,3.0,3.5,"AI-ready workforce development strategy is a generic workforce proposal, not AI governance.",639
210,67,Ensure Market Access for U.S. AI Technology,HPE,Industry (Other),3.1,3.0,3.0,3.0,3.5,Ensuring market access for US AI is pure corporate lobbying.,2095
211,68,Support AI Infrastructure Globally,Wahba Institute for Strategic Competition,Think Tank,3.1,3.0,3.0,3.0,3.5,Supporting AI infrastructure globally is vague and self-serving.,2147
212,73,Leverage AI for National Security Superiority,Wahba Institute for Strategic Competition,Think Tank,2.8000000000000003,2.0,2.0,2.0,6.0,Leverage AI for national security superiority is a wish list with no concrete mechanisms.,1757
213,74,Enhance Federal Coordination and Investment,HPE,Industry (Other),2.8000000000000003,2.0,2.0,2.0,6.0,Federal coordination and investment is a vague aspiration with no concrete policy content.,1682
214,72,Create AI Manufacturing Service Providers Ecosystem,"Advanced Robotics for Manufacturing
  Institute",Think Tank,2.6,2.5,2.5,2.5,3.0,AI manufacturing service providers ecosystem is a narrow industry proposal with little AI governance content.,673
215,73,Develop AI-Enhanced Material Discovery and Testing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,2.6,2.5,2.5,2.5,3.0,"AI-enhanced material discovery and testing is a narrow R&D proposal, not AI governance.",966
216,69,Enforce copyright fair use for AI training,Microsoft,Frontier Developer,2.6,2.5,2.5,2.5,3.0,Copyright fair use enforcement is pure corporate lobbying.,2100
217,70,Ensure access to data for fair learning,Google,Frontier Developer,2.6,2.5,2.5,2.5,3.0,Ensuring access to data for AI training is corporate lobbying and not strategic for IAPS.,2087
218,71,Enhance labor market insights for AI workforce,Microsoft,Frontier Developer,2.6,2.5,2.5,2.5,3.0,Enhancing labor market insights is vague and self-serving.,2101
219,72,Promote AI innovation in U.S. trade agreements,Microsoft,Frontier Developer,2.6,2.5,2.5,2.5,3.0,Trade agreement advocacy is pure corporate lobbying.,2670
220,75,Update incentives for data sharing from federally funded research,Microsoft,Frontier Developer,2.4000000000000004,1.5,1.5,1.5,6.0,"Updating incentives for data sharing is a generic, academic proposal with little policy substance or implementation realism.",1615
221,74,Foster Public-Private Partnerships for AI Research,HPE,Industry (Other),2.1,2.0,2.0,2.0,2.5,"Fostering public-private partnerships for AI research is a vague, generic aspiration with no actionable content.",640
222,73,Increase domestic manufacturing of energy infrastructure,Microsoft,Frontier Developer,2.1,2.0,2.0,2.0,2.5,Domestic manufacturing of energy infrastructure is not AI-specific and is corporate lobbying.,2233
223,74,Upgrade Data Centers for AI Workloads,HPE,Industry (Other),2.1,2.0,2.0,2.0,2.5,Upgrading data centers for AI workloads is vague and self-serving.,2176
224,75,Integrate Data Centers with Energy Grids,HPE,Industry (Other),1.6,1.5,1.5,1.5,2.0,Integrating data centers with energy grids is not AI-specific and is pure industry wish-list.,2502
225,75,Strengthen Enforcement of IP Protections for AI,"CGI Federal, Inc.",Industry (Other),1.0,1.0,1.0,1.0,1.0,Strengthening enforcement of IP protections for AI is a pure corporate lobbying proposal with no relevance to IAPS's strategic priorities or AI governance.,81
