overall_rank,batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
127,65,Support AI Entrepreneurs and Startups,INCOMPAS,Industry Association,3.6,3.0,3.0,3.0,6.0,Support for AI entrepreneurs is vague and lacks actionable mechanisms.,1239
128,66,Enhance Public-Private Collaboration for Defense AI,HPE,Industry (Other),3.6,3.0,3.0,3.0,6.0,Enhancing public-private collaboration for defense AI is a vague aspiration.,1129
129,67,Develop Services for Platform Verification,HPE,Industry (Other),3.6,3.0,3.0,3.0,6.0,Platform verification services are industry-centric and lack policy mechanisms.,1146
130,68,Implement AI Operations for IT Automation,HPE,Industry (Other),3.6,3.0,3.0,3.0,6.0,"AI operations for IT automation is an industry solution, not a policy proposal.",1960
131,63,Strengthen Cultural & Linguistic AI Applications,Wahba Institute for Strategic Competition,Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Strengthening cultural and linguistic AI applications is tangential to IAPS's priorities and is vague.,559
132,64,Promote AI Environmental Sustainability,Wahba Institute for Strategic Competition,Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,"AI environmental sustainability is a generic, non-actionable aspiration.",428
133,65,Promote International Collaboration,INCOMPAS,Industry Association,3.5999999999999996,3.5,3.5,3.5,4.0,"Promoting international collaboration is a vague, non-actionable aspiration.",464
134,66,Prioritize affordability and reliability in AI energy infrastructure development,Bipartisan Policy Center,Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Prioritizing affordability and reliability in AI energy infrastructure is vague and lacks actionable content.,56
135,67,Strengthen and Sustain Manufacturing USA Institutes,"Advanced Robotics for Manufacturing
  Institute",Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Strengthening Manufacturing USA Institutes is tangential to IAPS's AI governance focus.,214
136,68,Leverage Manufacturing Extension Partnerships for SMEs,"Advanced Robotics for Manufacturing
  Institute",Think Tank,3.5999999999999996,3.5,3.5,3.5,4.0,Leveraging Manufacturing Extension Partnerships for SMEs is tangential and lacks actionable AI governance content.,489
137,69,Provide Training and Reskilling Opportunities for Workers,"CGI Federal, Inc.",Industry (Other),3.5999999999999996,3.5,3.5,3.5,4.0,"Training and reskilling workers is a generic workforce development proposal, not AI governance.",891
138,69,Support Innovations in AI Infrastructure Costs,HPE,Industry (Other),3.2,2.5,2.5,2.5,6.0,"Vague, self-serving industry proposal with no policy substance.",1752
139,70,Remove restrictions and paywalls on scientific research,Microsoft,Frontier Developer,3.2,2.5,2.5,2.5,6.0,Removing paywalls on scientific research is idealistic and lacks implementation realism.,1961
140,71,Invest in Digital Twin Technology,HPE,Industry (Other),3.2,2.5,2.5,2.5,6.0,"Digital twin technology investment is an industry pitch, not a policy proposal.",1782
141,72,Create AI Innovation Hubs Across the Country,"CGI Federal, Inc.",Industry (Other),3.2,2.5,2.5,2.5,6.0,"AI innovation hubs are a vague, generic economic development proposal.",1758
142,70,Target federal apprenticeships for AI infrastructure,Microsoft,Frontier Developer,3.1,3.0,3.0,3.0,3.5,Targeting federal apprenticeships for AI infrastructure is a narrow workforce development proposal with little AI governance relevance.,226
143,71,AI-Ready Workforce Development Strategy,OpenAI,Frontier Developer,3.1,3.0,3.0,3.0,3.5,"AI-ready workforce development strategy is a generic workforce proposal, not AI governance.",639
144,73,Leverage AI for National Security Superiority,Wahba Institute for Strategic Competition,Think Tank,2.8000000000000003,2.0,2.0,2.0,6.0,Leverage AI for national security superiority is a wish list with no concrete mechanisms.,1757
145,74,Enhance Federal Coordination and Investment,HPE,Industry (Other),2.8000000000000003,2.0,2.0,2.0,6.0,Federal coordination and investment is a vague aspiration with no concrete policy content.,1682
146,72,Create AI Manufacturing Service Providers Ecosystem,"Advanced Robotics for Manufacturing
  Institute",Think Tank,2.6,2.5,2.5,2.5,3.0,AI manufacturing service providers ecosystem is a narrow industry proposal with little AI governance content.,673
147,73,Develop AI-Enhanced Material Discovery and Testing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,2.6,2.5,2.5,2.5,3.0,"AI-enhanced material discovery and testing is a narrow R&D proposal, not AI governance.",966
148,75,Update incentives for data sharing from federally funded research,Microsoft,Frontier Developer,2.4000000000000004,1.5,1.5,1.5,6.0,"Updating incentives for data sharing is a generic, academic proposal with little policy substance or implementation realism.",1615
149,74,Foster Public-Private Partnerships for AI Research,HPE,Industry (Other),2.1,2.0,2.0,2.0,2.5,"Fostering public-private partnerships for AI research is a vague, generic aspiration with no actionable content.",640
150,75,Strengthen Enforcement of IP Protections for AI,"CGI Federal, Inc.",Industry (Other),1.0,1.0,1.0,1.0,1.0,Strengthening enforcement of IP protections for AI is a pure corporate lobbying proposal with no relevance to IAPS's strategic priorities or AI governance.,81
